group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
ROTTERDAM-MOHONASEN SCHOOL DISTRICT,NY,17592297177501,3600004,12,450164,5,1484,46583.52,115,17592191993104,9,326520,0,0,0,823267.52,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GEORGETOWN COUNTY SCHOOL DISTRICT,SC,17592246333612,4502280,7,529742.09,21,222,56828.2,20,17592232050091,6,222503,0,0,0,809073.29,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DUNKIRK CITY SCHOOL DISTRICT,NY,17592297177177,3609420,5,485953,7,3381,197943.1,162,17592247428385,3,117000,0,0,0,800896.1,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MECHANICVILLE CITY SCHOOL DISTRICT,NY,17592297177492,17592246338312,4,389275.4,3,151,2713.86,6,17592240769333,4,389275.4,0,0,0,781264.66,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
METROPOLITAN NASHVILLE PUBLIC SCHOOLS,TN,17592246338329,4703180,9,446376.37,166,2871,72255,69,17592191599741,5,240754.68,0,0,0,759386.05,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WAPPINGERS SCHOOL DISTRICT,NY,17592297177239,3629880,18,353795,16,2186,85396.55,396,17592191139680,16,291475,0,0,0,730666.55,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
EASTERN SUFFOLK BOCES,NY,17592238766952,3680820,13,338983.61,12,3040,75617.27,148,17592193476736,6,271699,0,0,0,686299.88,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MEDINA CENTRAL SCHOOL DISTRICT,NY,17592297177434,3618960,5,381626,4,4693,200147.89,81,17592233784919,1,104000,0,0,0,685773.89,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NEWBURGH CITY SCHOOL DISTRICT,NY,17592297177424,3620700,8,333635.8,14,32,2280,21,17592188111649,8,333635.8,0,0,0,669551.6,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WEST ISLIP SCHOOL DISTRICT,NY,17592246375617,3630690,22,315251.81,8,5157,127897.06,296,17592190778417,14,208586.3,0,0,0,651735.17,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
NASSAU BOCES,NY,17592238767297,3680540,11,324792.3,7,4068,26450.52,298,17592188521542,8,295420.25,0,0,0,646663.07,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
UTICA CITY SCHOOL DISTRICT,NY,17592246341114,3629370,9,291384,14,4086,146296.55,157,17592194493180,6,203350,0,0,0,641030.55,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SEAFORD SCHOOL DISTRICT,NY,17592246333820,3626400,16,337940.69,11,4030,107215.65,144,17592190775661,13,187940.69,0,0,0,633097.03,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GOUVERNEUR SCHOOL DISTRICT,NY,17592297177521,3623430,8,304641.48,4,2823,157107.22,96,17592257023088,4,159146.83,0,0,0,620895.54,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
JERICHO SCHOOL DISTRICT,NY,17592236334881,3615810,18,341233.57,6,2097,55591.81,22,17592191985057,14,217463.57,0,0,0,614288.95,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CARLE PLACE SCHOOL DISTRICT,NY,17592246348242,3606540,14,281115.65,4,2279,128997.43,72,17592188843447,12,200865.65,0,0,0,610978.73,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WASHINGTONVILLE CENTRAL SCHOOL DISTRICT,NY,17592297177429,3630030,9,409187.18,6,382,152467.45,4,17592188008430,3,9950,0,0,0,571604.63,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
IREDELL-STATESVILLE SCHOOLS,NC,17592236333652,3702310,4,280956,38,104,0,11,17592188132463,4,280956,0,0,0,561912,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
DEMOCRACY PREPARATORY CHARTER SCHOOL,NY,17592246331829,17592246331829 ,9,268294.21,2,186,32393.34,50,17592244842825,5,251560.51,0,0,0,552248.06,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
WEBSTER SCHOOL DISTRICT,NY,17592297177362,3630360,9,332122.59,15,2131,101503.8,71,17592188843664,5,118197.5,0,0,0,551823.89,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
MIDDLE COUNTRY SCHOOL DISTRICT,NY,17592257784303,3619200,13,280020.38,15,2656,9412.08,242,17592188843616,11,258520.38,0,0,0,547952.84,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CALHOUN COUNTY PUBLIC SCHOOLS,SC,17592236333814,4501250,11,272850,6,110,0,16,17592186838330,11,272850,0,0,0,545700,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
