,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
South Plainfield School District,3415360,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,"$64,197.60",$0.00,$0.00,$0.00,"$64,197.60",,,
South Washington Public Schools,2733810,MN,Minnesota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$135,000",$0.00,,,
South Western School District,4222470,PA,Pennsylvania 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$10,472.00",$0.00,,,
Southampton School District,3627540,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$14,932.80","$40,000.00",$0.00,,,
Southampton Township School District,3415420,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$11,226.80",$0.00,$0.00,,,
Southern Door County School District,5514130,WI,Wisconsin 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
Southern Westchester Boces,3680960,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$40,000.00",$0.00,,,
Southwest Independent School District,4840950,TX,Texas 2027,2027,Allie Vincent,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Southwest Louisiana Charter Academy,2200189,LA,Louisiana 2035,2027,,EK12,$0.00,$0.00,"$23,720.00",$0.00,$0.00,,,
Sparta Community Unit School District 140,1736900,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$12,012.00","$24,000.00",$0.00,,,
Spartanburg County School District 07,4503660,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Special School District of St. Louis County,2926760,MO,Missouri 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$30,000.00","$30,000.00",,,
Spencer-Van Etten Central School District,3627750,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$6,000.00",$0.00,,,
Spring Hill Independent School District,4841190,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$49,980.00",$0.00,$0.00,,,
Spring Hill Unified School District 230,2011850,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$21,596.00",$0.00,$0.00,,,
Spring Independent School District,4841070,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$40,000.00","$4,000.00",,,
St. Louis Public Schools,2900591,MO,Missouri 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Stanton County Unified School District 452,2007860,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$10,122.84",$0.00,$0.00,,,
Starpoint School District,3628050,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$21,193.00",$0.00,$0.00,$0.00,$0.00,,,
Steger School District 194,1737680,IL,Illinois 2027,2027,Allie Vincent,EK12,$0.00,$0.00,$0.00,"$34,890.00",$0.00,,,
Stewart County School District,1304590,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Stillwater Public Schools,2738190,MN,Minnesota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$160,000",$0.00,,,
Stratford Independent School District,4841670,TX,Texas 2027,2027,Lauren Kleist,EK12,"$46,500.00",$0.00,$0.00,$0.00,"$46,500.00",,,
Suffolk Public Schools,5103710,VA,Virginia 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Sugar Creek Charter,3700089,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$50,760.00",$0.00,$0.00,,,
Sullivan County BOCES,3680880,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$71,253.12","$15,000.00",$0.00,$0.00,"$90,000.00",,,
Sumner School District,5308610,WA,Washington 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$60,000.00",$0.00,,,
Sumter School District,4503902,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$87,249.60","$6,000.00",$0.00,$0.00,"$950,000.00",,,
Sutter County Superintendent of Schools,0691042,CA,California 2027,2027,Monica Sherwood,Fullmind,"$12,390.00","$47,080.00",$0.00,$0.00,"$200,000.00",,,
Swain County Schools,3704440,NC,North Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$24,570.00",$0.00,,,
Sweetwater Independent School District,4842030,TX,Texas 2027,2027,Lauren Kleist,EK12,"$79,080.00",$0.00,$0.00,$0.00,"$79,080.00",,,
Sylacauga City Schools,0103120,AL,Alabama 2027,2027,,EK12,"$32,334.56",$0.00,$0.00,$0.00,"$32,334.56",,,
Syosset Central School District,3628560,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Syracuse City School District,3628590,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$797,206.80",$0.00,$0.00,$0.00,"$1,000,000.00",,,
Syracuse Unified School District 494,2012150,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$10,744.00",$0.00,$0.00,,,
Tantasqua Regional School District,2511490,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,"$14,739.92",$0.00,$0.00,$0.00,"$9,000.00",,,
Terlingua Common School District,4842390,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$17,628.32",$0.00,$0.00,,,
Texas Can Academies,4800016,TX,Texas 2027,2027,Allie Vincent,EK12,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
The Varnett Public School,4800073,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Thomas Academy Charter,3700349,NC,North Carolina 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$20,944.00",$0.00,,,
Thomas County School District,1304890,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$8,894.80",$0.00,,,
Thomaston-Upson County School District,0904500,CT,Connecticut 2027,2027,,EK12,$0.00,$0.00,"$27,900.00",$0.00,$0.00,,,
Thomasville City School District,1304950,GA,Georgia 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$61,900.00",$0.00,,,
Thorp School District,5514820,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$13,679.18",$0.00,,,
Ticonderoga Central School District,3628680,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$16,543.20","$10,000.00",$0.00,,,
Tippecanoe School Corporation,1811340,IN,Indiana 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$21,000.00",$0.00,,,
Toledo Public Schools,3904490,OH,Ohio 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Tompkins-Seneca-Tioga Boces,3680900,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$7,425.00",$0.00,,,
Trenton,3400041,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$300,000.00",$0.00,,,
Tri County Area Schools,2633930,MI,Michicagn 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$18,600.00",$0.00,,,
Trinity Alps Unified,0601331,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$90,000.00",$0.00,,,
Trotwood-Madison City School District,3904869,OH,Ohio 2027,2027,,EK12,$0.00,$0.00,"$25,056.00","$12,000.00",$0.00,,,
Troy City School District,3628950,NY,New York 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$13,950.00",$0.00,,,
Tucumcari Public Schools,3502640,NM,New Mexico 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$23,682.00",$0.00,,,
Tully Central School District,3629130,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$6,000.00",$0.00,,,
Tulsa Public Schools,4030240,OK,Oklahoma 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$160,000",$0.00,,,
Tuscaloosa City Schools,0103360,AL,Alabama 2027,2027,,EK12,$0.00,$0.00,"$33,728.00",$0.00,$0.00,,,
Ukiah Unified School District,0640300,CA,California 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Ulster Boces (District),3680920,NY,New York 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$16,000.00",$0.00,,,
Union County School District 01,4503750,SC,South Carolina 2027,2027,,EK12,$0.00,$0.00,"$85,952.00",$0.00,$0.00,,,
Union Elementary School District,0408820,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$13,320.00",$0.00,$0.00,,,
University Academy Charter High School,3400073,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$17,600.00",$0.00,,,
Urban Dove Team Charter School (District),3601065,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Utica City School District,3629370,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$35,054.50",$0.00,$0.00,$0.00,"$25,000.00",,,
Utopian Academy For The Arts Charter (District),1300233,GA,Georgia 2027,2027,Lauren Kleist,EK12,"$14,354.50",$0.00,$0.00,$0.00,"$14,354.50",,,
Vallejo City Unified School District,0640740,CA,California 2027,2027,,Fullmind,$0.00,$0.00,"$106,995.60","$82,400.00",$0.00,,,
Valley View School District,0513380,AR,Arkansas 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$14,456.00",$0.00,,,
Valor Preparatory Academy,0400988,AZ,Arizona 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$16,200.00",$0.00,,,
Van Dyke Public Schools,2634680,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$31,000.00",$0.00,$0.00,,,
Van Hornesville-Owen D. Young Central School District,3622200,NY,New York 2027,2027,Patricia Kiedrow,EK12,"$34,890.00",$0.00,$0.00,$0.00,"$34,890.00",,,
Viborg-Hurley SD,4674520,SD,South Dakota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$35,000",$0.00,,,
Victoria Independent School District,4844150,TX,Texas 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$46,800.00",$0.00,,,
Virginia Beach City Public Schools,5103840,VA,Virginia 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$90,000.00",$0.00,,,
Wake County Schools,3704720,NC,North Carolina 2027,2027,,Fullmind,$0.00,$0.00,"$77,208.60","$45,000.00",$0.00,,,
Waldwick School District,3416860,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$12,600.00",$0.00,,,
Wantagh School District,3629850,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Wappingers School District,3629880,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$34,391.11",$0.00,$0.00,$0.00,"$47,754.00",,,
Warren County Public Schools,2105730,KY,Kentucky 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Warren County School System (GA),1305460,GA,Georgia 2027,2027,Nora Navarro,EK12,"$136,980.00",$0.00,$0.00,$0.00,"$136,980.00",,,
Warren County Schools,3704740,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$123,513.20","$25,500.00",$0.00,,,
Warren Township Metropolitan School District,1812360,IN,Indiana 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$40,000.00","$40,000.00",,,
Warrensburg Central,3629910,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$52,516.84",$0.00,$0.00,$0.00,"$50,000.00",,,
Washington Community School District,1930240,IA,Iowa 2027,2027,,EK12,$0.00,$0.00,"$26,860.00",$0.00,$0.00,,,
Washington Island School District,5515570,WI,Wisconsin 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
Washington Township School District (Sewell),3417040,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$18,400.00",$0.00,,,
Washington Twnshp,3417160,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$150,000.00",$0.00,,,
Washington Unified School District (West Sacramento),0641580,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$26,000.00",$0.00,,,
Washingtonville Central School District,3630030,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$81,475.45",$0.00,$0.00,$0.00,"$95,000.00",,,
Waterloo Central School District,3600014,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$170,218.02",$0.00,$0.00,$0.00,"$94,554.00",,,
Waterloo School District,5515720,WI,Wisconsin 2027,2027,,EK12,$0.00,$0.00,"$25,812.00",$0.00,$0.00,,,
Watkins Glen School District,3630240,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$12,960.00",$0.00,,,
Waukee Community School District,1930510,IA,Iowa 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$5,000.00","$5,000.00",,,
Waukegan Community Unit School District 60,1741250,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$135,918.90",$0.00,$0.00,,,
Wayne County Public Schools,3704880,NC,North Carolina 2027,2027,Kris Tedesco,EK12,$0.00,$0.00,"$213,356.80",$0.00,$0.00,,,
Webster School District,3630360,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$37,755.63","$4,500.00",$0.00,$0.00,"$100,000.00",,,
Weedsport School District,3630420,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Weld County Reorganized School District No. Re-8,0804020,CO,Colorado 2027,2027,Lauren Kleist,EK12,"$20,330.00",$0.00,$0.00,$0.00,"$20,330.00",,,
Weld County School District No. Re-1 Gilcrest,0804200,CO,Colorado 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$27,000.00",$0.00,,,
Weld County School District No. Re-9 Ault-Highland,0803600,CO,Colorado 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$10,287.00",$0.00,,,
Weld County School District RE-3J,0804920,CO,Colorado 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Wellman-Union Consolidated Independent School District,4844910,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$14,400.00",$0.00,,,
West Bolivar Consolidated School District,2800185,MS,Mississippi 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$45,000.00",$0.00,,,
West Hancock Community School District,1905430,IA,Iowa 2027,2027,Tony Skauge,Fullmind,"$41,906.97",$0.00,$0.00,$0.00,"$50,000.00",,,
West Harvey-Dixmoor School District 147,1718480,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$39,760.00",$0.00,$0.00,,,
West Islip School District,3630690,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$36,310.49",$0.00,$0.00,$0.00,"$35,000.00",,,
West Northfield School District 31,1741700,IL,Illinois 2027,2027,Mike O'Donnell,Fullmind,"$7,244.00",$0.00,$0.00,$0.00,$0.00,,,
Westbury School District,3630960,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Western Boone County Community School District,1812990,IA,Iowa 2027,2027,,EK12,$0.00,$0.00,"$19,048.00",$0.00,$0.00,,,
Western New York Maritime Charter School,3600106,NY,New York 2027,2027,Lauren Kleist,EK12,"$75,164.00",$0.00,$0.00,$0.00,"$75,164.00",,,
Western Plains Unified School District 106,2000020,KS,Kansas 2027,2027,Phil Dugliss,EK12,"$14,463.80",$0.00,$0.00,$0.00,"$14,463.80",,,
Westfield Public Schools,3417760,NJ,New Jersey 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Westhill School District,3607320,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$17,885.00",$0.00,$0.00,$0.00,"$50,000.00",,,
Weston Public Schools,2512750,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Whitesboro Central School District,3631320,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$78,119.80",$0.00,$0.00,,,
Whiteville City Schools,3704920,NC,North Carolina 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$10,371.00",$0.00,,,
Whitney Point Central School District,3631380,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Williamsburg County School District,4503780,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$66,904.32",$0.00,$0.00,$0.00,"$250,000.00",,,
Williamsville School District,3631470,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$21,654.00","$10,000.00",$0.00,$0.00,"$50,000.00",,,
Willis Independent School District,4845900,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$17,040.00",$0.00,$0.00,,,
Winchester CUSD #1,1742660,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$34,890.00",$0.00,$0.00,$0.00,"$34,890.00",,,
Windsor Public Schools,0905220,CT,Connecticut 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$19,024.00",$0.00,,,
Winter School District,5516860,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$73,120.00",$0.00,$0.00,$0.00,"$49,240.00",,,
Wirt County Schools,5401590,WV,West Virginia,2027,Stephanie Eastman,EK12,$0.00,$0.00,$0.00,"$16,128.00",$0.00,,,
Wisconsin Dells School District,5517040,WI,Wisconsin 2027,2027,,EK12,$0.00,$0.00,"$11,784.00",$0.00,$0.00,,,
Wisconsin Deptartment of Corrections,5500035,WI,Wisconsin 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Woodland Community Unit School District 5,1738070,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$15,500.00",$0.00,$0.00,$0.00,"$15,500.00",,,
Worcester Public Schools,2513230,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$500,000.00",$0.00,,,
Wray Rd-2 School District,0800017,CO,Colorado 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$38,000.00",$0.00,,,
Yellow Springs Exempted Village School District,3904567,OH,Ohio 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Yonkers City School District,3631920,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$153,000.00",$0.00,,,
York City School District,4226820,PA,Pennsylvania 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$45,000.00",$0.00,,,
Yorktown Independent School District,4846650,TX,Texas 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$24,800.00",$0.00,,,
Youngstown City School District,3904516,OH,Ohio 2027,2027,Patricia Kiedrow,EK12,"$400,000.00",$0.00,$0.00,$0.00,"$279,000.00",,,
Yuba City Unified School District,0643470,CA,California 2027,2027,Monica Sherwood,Fullmind,"$1,012,717.81",$0.00,$0.00,$0.00,"$1,000,000.00",,,
Zion Elementary School District 6,1743860,IL,Illinois 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$22,305.00",$0.00,,,
York County Rock Hill School District 03,ADD,SC,South Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$42,750.00",$0.00,,,
William Cullen Bryant High School,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
Western Education Regional Cooperative,ADD,ND,North Dakota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$125,000",$0.00,,,
Virginia Board of Education,ADD,VA,Virginia 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$500,000.00","$500,000.00",,,
University of Chicago Charter Schools,ADD,IL,Illinois 2027,2027,Lauren Kleist,EK12,"$172,500.00",$0.00,$0.00,$0.00,"$172,500.00",,,
UA School for Collaborative Health Care,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$32,000.00",$0.00,,,
Tru Preparatory Academy,ADD,FL,Florida 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$43,008.00",$0.00,,,
Township of Union School District,ADD,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$48,000.00",$0.00,,,
Thomas A Edison Career & Tech,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
The Urban Assembly Academy of Government and Law,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$20,000.00",$0.00,,,
Tarrant County College,ADD,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,"$4,634.00",$0.00,$0.00,$0.00,"$25,000.00",,,
Summerville Preparatory Academy,ADD,SC,South Carolina 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$15,000.00","$15,000.00",,,
Sul Ross State University,ADD,TX,Texas 2027,2027,,Fullmind,$0.00,$0.00,"$11,305.00",$0.00,$0.00,,,
Star Christian Academy,ADD,NC,North Carolina 2027,2027,Liz Winnen,EK12,"$14,620.00",$0.00,$0.00,$0.00,"$14,620.00",,,
South Carolina Public Charter District,ADD,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,"$10,319.40",$0.00,$0.00,,,
Soulsville Charter School,ADD,TN,Tennessee 2027,2027,,EK12,$0.00,$0.00,"$14,200.00",$0.00,$0.00,,,
Shepherd of God Christian Academy,ADD,FL,Florida 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$14,000.00",$0.00,,,
Saint Mary Parish School Board,ADD,LA,Louisiana 2028,2027,,EK12,$0.00,$0.00,"$66,072.00",$0.00,$0.00,,,
Rural Schools Innovation Zone,ADD,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,"$39,832.00","$7,211.70",$0.00,$0.00,"$92,998.00",,,
Republic Schools,ADD,TN,Tennessee 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$64,000.00",$0.00,,,
Renaissance Charter School at University,ADD,FL,Florida 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$25,500.00",$0.00,,,
Region II Education Service Center,ADD,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$4,000.00","$4,000.00",,,
Queen City Academy Charter School,ADD,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$12,486.00",$0.00,$0.00,,,
Public Impact,ADD,NC,North Carolina 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$20,000.00",$0.00,,,
Propel Charter School - McKeesport,ADD,PA,Pennsylvania 2027,2027,Tony Skauge,Fullmind,$0.00,$0.00,$0.00,"$60,800.00",$0.00,,,
Primer,ADD,FL,Florida 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$48,730.20",$0.00,,,
Pathways Academy Charter School,ADD,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$15,807.18","$25,000.00",,,
P.S. 180 Seeall Academy,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$7,499.70",$0.00,,,
P.S. 018 Edward Bush School,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Onward Learning,ADD,SC,South Carolina 2027,2027,Tony Skauge,Fullmind,$0.00,$0.00,$0.00,"$8,000.00",$0.00,,,
Old National Trail Special Services Cooperative,ADD,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",,,
Old National Trail Special Services,ADD,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$200,000",$0.00,,,
North Lawndale College Preparatory,ADD,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$24,962.00",$0.00,$0.00,,,
Mt Holly Springs Elementary School,ADD,PA,Pennsylvania 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$3,300.00",$0.00,,,
MS 113 Ronald Edmonds Learning Center,ADD,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$32,000.00",$0.00,,,
Monsignor Kelly Catholic High School,ADD,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$13,950.00",$0.00,$0.00,,,
Mississippi Achievement School District,ADD,MS,Mississippi 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Midlands Middle College,ADD,SC,South Carolina 2027,2027,,EK12,$0.00,$0.00,"$28,828.80",$0.00,$0.00,,,
Midland STEM Institute,ADD,SC,South Carolina 2027,2027,,EK12,$0.00,$0.00,"$10,206.80",$0.00,$0.00,,,
Lubbock Christian School,ADD,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$13,258.20",$0.00,$0.00,,,
Louisiana Department of Education,ADD,LA,Louisiana 2038,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$45,000.00",$0.00,,,
Learn4life - Charleston,ADD,SC,South Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$15,366.53",$0.00,,,
Lake Wales Senior High School,ADD,FL,Florida 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$24,546.00",$0.00,,,
Lafayette Renaissance Charter Academy,ADD,LA,Louisiana 2027,2027,,EK12,$0.00,$0.00,"$28,720.40",$0.00,$0.00,,,
Kipp Public Schools Northern California,ADD,CA,California 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Kipp North Carolina Public Schools,ADD,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$39,060.00",$0.00,$0.00,,,
Kipp Metro Atlanta Schools,ADD,GA,Georgia 2027,2027,Hayley Spira Bauer,Fullmind,$0.00,$0.00,$0.00,"$200,000.00","$200,000.00",,,
KIPP Memphis Collegiate Schools,ADD,TN,Tennessee 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$15,500.00","$15,500.00",,,
KIPP Kansas City,ADD,MO,Missouri 2027,2027,Lauren Kleist,EK12,"$114,000.00",$0.00,$0.00,$0.00,"$114,000.00",,,
Kipp Colorado Publics Schools,ADD,CO,Colorado 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$27,000.00",$0.00,,,
KIPP Chicago Public Schools,ADD,IL,Illinois 2027,2027,Lauren Kleist,EK12,$0.00,$0.00,$0.00,"$33,320.00","$33,320.00",,,
Kipp Capital Region Public Schools,ADD,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$22,382.00",$0.00,$0.00,,,
Jacksonville Lighthouse Charter (District),ADD,AR,Arkansas 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$20,146.40",$0.00,,,
IOTA Community Schools,ADD,TN,Tennessee 2027,2027,,EK12,$0.00,$0.00,"$30,048.00",$0.00,$0.00,,,
Indiana Math And Science Academy - North,ADD,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$9,000.00",$0.00,,,
