,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Cannelton City Schools,1801170,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$5,462.34",$0.00,,,
Carbon County School District #1,5601030,WY,West Virginia,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$24,912.00",$0.00,,,
Carle Place School District,3606540,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$13,980.00",$0.00,$0.00,$0.00,"$40,000.00",,,
Carmen Schools Of Science And Technology,5500076,WI,Wisconsin 2027,2027,,EK12,$0.00,$0.00,"$34,905.00",$0.00,$0.00,,,
Caroline County Public Schools,5100660,VA,Virginia 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$90,000.00",$0.00,,,
Carroll Consolidated School Corporation,1801290,IN,Indiana 2027,2027,John Chambers,EK12,$0.00,$0.00,$0.00,"$55,125.00",$0.00,,,
Carroll County School District,1300840,GA,Georgia 2027,2027,Stephen Moreland,EK12,$0.00,$0.00,$0.00,"$15,750.00",$0.00,,,
Carrollton Community Unit School District 1,1708610,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$12,360.00",$0.00,$0.00,,,
Cassopolis Public Schools,2608430,MI,Michicagn 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$15,900.00",$0.00,,,
Castleberry Independent School District,4813170,TX,Texas 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$100,640.00",$0.00,,,
Cato-Meridian School District,3606690,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$10,500.00",$0.00,,,
Cattaraugus-Allegany BOCES,3680150,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$4,500.00",$0.00,,,
Cazenovia Central School District,3606780,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$44,397.00",$0.00,$0.00,$0.00,"$100,000.00",,,
Cedars International Academy,4800232,TX,Texas 2027,2027,Lauren Kleist,EK12,"$132,525.00",$0.00,$0.00,$0.00,"$58,900.00",,,
Ceiba College Preparatory Academy,0602428,CA,California 2027,2027,,EK12,$0.00,$0.00,"$16,316.00",$0.00,$0.00,,,
Centerville Community School District,1906750,IA,Iowa 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$13,530.00",$0.00,,,
Central Valley School District,3601087,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$15,771.20","$15,043.38",$0.00,,,
CESA 11,5513560,WI,Wisconsin 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$160,000",$0.00,,,
Champaign Community Unit School District 4,1709420,IL,Illinois 2027,2027,Connie Bowman,EK12,$0.00,$0.00,$0.00,"$85,065.00",$0.00,,,
Champlain Valley School District,5000396,VT,Vermont 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Chappaqua School District,3606990,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$15,138.78","$8,000.00",$0.00,$0.00,$0.00,,,
Charleston County School District,4501440,SC,South Carolina 2027,2027,,Fullmind,$0.00,$0.00,"$105,015.80","$162,000.00",$0.00,,,
Charlotte Public Schools (District),2608770,MI,Michicagn 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$23,250.00",$0.00,,,
Charlotte-Mecklenburg Schools,3702970,NC,North Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,"$52,804.80","$55,666.00","$50,000.00",,,
Charter Institute at Erskine (District),4503909,SC,South Carolina 2027,2027,,Fullmind,$0.00,$0.00,"$11,833.60",$0.00,$0.00,,,
Chatham County Schools,3700750,NC,North Carolina 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
Cherokee School District 01,4501500,SC,South Carolina 2027,2027,Liz Winnen,EK12,"$155,040.00","$30,000.00",$0.00,$0.00,"$100,000.00",,,
Chesapeake Public Schools,5100810,VA,Virginia 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Chester County School District,4501530,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$23,953.00","$15,000.00",$0.00,$0.00,"$250,000.00",,,
Chesterfield County School District 01,4501560,SC,South Carolina 2027,2027,Liz Winnen,EK12,"$159,088.00",$0.00,$0.00,$0.00,"$100,000.00",,,
Cheyenne County School District No. Re-5,0800001,CO,Colorado 2027,2027,,EK12,$0.00,$0.00,"$10,744.00",$0.00,$0.00,,,
Chicago Public Schools,1709930,IL,Illinois 2027,2027,,EK12,"$15,504.00","$100,000.00",$0.00,$0.00,"$15,504.00",,,
Childrens Village Academy,3700031,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$15,216.00",$0.00,$0.00,,,
Chowchilla Elementary School District,0608520,CA,California 2027,2027,Monica Sherwood,Fullmind,"$76,382.72",$0.00,$0.00,$0.00,"$200,000.00",,,
Christel House,1800018,IN,Indiana 2027,2027,,EK12,$0.00,$0.00,"$17,236.30","$18,225.00",$0.00,,,
Cincinnati Public Schools,3904375,OH,Ohio 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Citizens of The World Charter,2900612,MO,Missouri 2027,2027,,EK12,$0.00,$0.00,"$29,617.20",$0.00,$0.00,,,
Clarendon School District,0504350,AR,Arkansas 2027,2027,Michael Richard,EK12,$0.00,$0.00,$0.00,"$25,680.00",$0.00,,,
Clarksville Independent School District,4814190,TX,Texas 2027,2027,Marneé Grant,Fullmind,$0.00,$0.00,$0.00,"$21,000.00",$0.00,,,
Classical Academy Charter School of Clifton,3400052,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Clear Lake School District,5502610,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$23,996.00",$0.00,$0.00,$0.00,"$23,996.00",,,
Cleveland ISD,4814370,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$73,500.00",$0.00,,,
Cleveland Metropolitan School District,3904378,OH,Ohio 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Clinton City Schools,3700930,NC,North Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$19,557.00",$0.00,,,
Clinton Community School District,1907710,IA,Iowa 2027,2027,Tony Skauge,Fullmind,"$5,712.00",$0.00,$0.00,$0.00,"$25,000.00",,,
Clintonville School District,5502670,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$24,423.00",$0.00,,,
Clovis Municipal Schools,3500570,NM,New Mexico 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$25,664.40",$0.00,,,
