Agency NCES ID,Competitor,PO Number,PO Amount,Agency,Agency City,Agency State,PO Signed Date,Fiscal Year
3407230,Educere,23-05582,"$1,508",Hillsborough Township School District,Hillsborough,New Jersey,06/30/2023,FY23
3407980,Educere,23-02954,"$9,541",Kingsway Regional School District,Woolwich Twp.,New Jersey,06/29/2023,FY23
3405610,Educere,PO: 23-03315 CHK:523196,"$13,369",Freehold Regional School District,Englishtown,New Jersey,06/29/2023,FY23
3405610,Educere,PO: 23-03143 CHK:523196,"$22,433",Freehold Regional School District,Englishtown,New Jersey,06/29/2023,FY23
,Educere,DT:6/28/2023 REQ:231188,"$2,585",Bucks County Technical High School,Fairless Hills,Pennsylvania,06/28/2023,FY23
3613230,Educere,221107,"$27,252",Haldane Central School District,Cold Spring,New York,06/27/2023,FY23
,Educere,DT:2023-06-23 CHK:220230,"$1,755",Newark Charter School,Newark,Delaware,06/23/2023,FY23
3403300,Educere,R-235950,"$1,914",Clifton City School District,Clifton,New Jersey,06/22/2023,FY23
3403000,Educere,308273,"$1,560",Cherry Hill Township School District,Cherry Hill,New Jersey,06/20/2023,FY23
1723250,Educere,2303,"$2,027",Litchfield Community Unit School District 12,Litchfield,Illinois,06/20/2023,FY23
3418120,Educere,PO:PO-23-02366 DT:06/16/2023 CHK:1022947,"$2,434",Woodbridge Township School District,Woodbridge,New Jersey,06/16/2023,FY23
4289250,Educere,23000296,"$50,700",Capital Area IU 15,Enola,Pennsylvania,06/14/2023,FY23
,Educere,VEN:EDUCERE LLC DT:06/08/2023 CHK:206796,"$2,222",Town of Uxbridge,Uxbridge,Massachusetts,06/08/2023,FY23
